label,output_band_id,kperp_index,kpar_index,kperp_center_mpc_inv,kpar_mpc_inv,in_baseline_broad_support,added_vs_baseline_broad_support,target_windowed_power,bank_pure_signed_error_percent,bank_total_signed_error_percent,foreground_auto_over_target,heldout_phase_count,heldout_passing_20pct_phase_count,heldout_worst_total_error_percent,heldout_worst_foreground_effect_percent,geometric_window_response_fraction,relative_response,window_effective_width
dpss_narrow32_e12_hann,197,12,5,0.6333619213960914,0.5044572327577731,1,0,4.575947145508406e-05,6.06305785564331,6.068509393364214,5.0605559865669356e-05,16,16,10.249261678329919,0.10871157052659948,0.999939773040668,0.9559729062209931,9.13046367072667
dpss_narrow32_e12_hann,198,12,6,0.6333619213960914,0.6053486793093278,1,0,4.2834763850609206e-05,-0.28477884233431033,-0.3046383098288312,6.197723194953898e-06,16,16,10.515706466539926,0.02782876777902571,0.9999777628532119,0.9688333948431702,8.168048032963506
dpss_narrow32_e12_hann,199,12,7,0.6333619213960914,0.7062401258608824,1,0,3.4169963673501895e-05,5.407493514830278,5.418935406283659,1.4658582120818158e-06,16,16,7.137694371291188,0.01191506123246014,0.9999995345891463,0.969616996779529,8.032502922101937
dpss_narrow32_e12_hann,200,12,8,0.6333619213960914,0.807131572412437,1,0,2.7414553731280133e-05,12.268883232070227,12.270292919448806,2.716618914853806e-07,16,16,10.477053948593072,0.006225401119677433,0.9999999166560865,0.970814850456225,8.077155156068239
dpss_narrow32_e12_hann,201,12,9,0.6333619213960914,0.9080230189639916,1,0,2.2430606303803218e-05,7.041790966324324,7.043168057448223,3.3150061463316044e-07,16,16,14.901730852568667,0.00496029717227919,0.9999999760350777,0.965998567194695,8.018036866427899
dpss_narrow32_e12_hann,202,12,10,0.6333619213960914,1.0089144655155462,1,0,1.8725209708458072e-05,8.572143628251004,8.57132603769706,2.8142158826629025e-07,16,16,7.795567029095951,0.006621747139165174,0.9999999931820535,0.9652643030677519,8.071908154581429
dpss_narrow32_e12_hann,203,12,11,0.6333619213960914,1.109805912067101,1,0,1.599377224131e-05,14.422183779056132,14.4193822229737,3.309570182824067e-07,16,16,5.11743692699241,0.006776354089571723,0.999999998039905,0.9641402681986683,8.016425639438118
dpss_narrow32_e12_hann,204,12,12,0.6333619213960914,1.2106973586186556,1,0,1.3826139325856e-05,9.682436201174738,9.681906364065163,3.30453351572661e-07,16,16,6.955949314813689,0.0065659585195580366,0.9999999994102753,0.9502839159210638,8.144132621182928
dpss_narrow32_e12_hann,205,12,13,0.6333619213960914,1.31158880517021,1,0,1.2180954074750342e-05,7.529958444213592,7.533544195744619,6.013513437799366e-07,16,16,10.308622826579587,0.009128853104662892,0.9999999998218532,0.9726750552942712,8.046228646086004
dpss_narrow32_e12_hann,206,12,14,0.6333619213960914,1.4124802517217647,1,0,1.1123755038471397e-05,-0.14822949743830477,-0.14616932939600086,8.259926782597236e-07,16,16,14.596124259476515,0.014059710145413809,0.9999999999437955,0.9795072034618576,7.948445035371157
dpss_narrow32_e12_hann,207,12,15,0.6333619213960914,1.5133716982733196,1,0,1.0547294587831113e-05,3.456123591923986,3.45555537706016,1.2179648012738827e-06,16,16,11.661071179659729,0.013072909550244753,0.9999999999823197,0.9905733647368513,6.876546545403314
dpss_narrow32_e12_hann,213,13,5,0.6825029280192529,0.5044572327577731,1,0,3.7251237816343413e-05,4.810326176688335,4.7973636371706565,8.344113161303329e-07,16,16,12.03391680060232,0.015176905292003847,0.9999651292914427,0.9780096244901956,11.168637559149749
dpss_narrow32_e12_hann,214,13,6,0.6825029280192529,0.6053486793093278,1,0,3.731214675113648e-05,9.015872203969884,9.0095953293151,2.632943893440152e-07,16,16,9.234528550377668,0.0049012924319688025,0.999980822304202,0.9719568964019926,9.038389994614556
dpss_narrow32_e12_hann,215,13,7,0.6825029280192529,0.7062401258608824,1,0,3.1283179346340505e-05,3.244168122616733,3.245310905153944,3.7806696303177455e-08,16,16,9.251488927938595,0.001976549254201669,0.9999984858823221,0.9717263846937966,8.947520147339343
dpss_narrow32_e12_hann,216,13,8,0.6825029280192529,0.807131572412437,1,0,2.5277210174693833e-05,2.253100297962127,2.2535259463087702,5.3780603518701734e-08,16,16,11.451034222814263,0.004012101325900085,0.999999859565996,0.9803891309925575,8.71542056119325
dpss_narrow32_e12_hann,217,13,9,0.6825029280192529,0.9080230189639916,1,0,2.0676238096885303e-05,14.929380811311404,14.930342192098474,6.125567676823734e-08,16,16,11.047435079491423,0.004941952678642676,0.9999999811816231,0.9798806997693978,8.634154836476032
dpss_narrow32_e12_hann,218,13,10,0.6825029280192529,1.0089144655155462,1,0,1.720166198404689e-05,11.716520441686008,11.71627337283366,6.535641444969381e-08,16,16,6.881027579246177,0.0022178606828194827,0.9999999967127726,0.9728201920043819,8.561454160346516
dpss_narrow32_e12_hann,219,13,11,0.6825029280192529,1.109805912067101,1,0,1.4610221456605692e-05,6.291905581350383,6.2932042922081655,7.677963274800044e-08,16,16,11.514982928005118,0.002694526502715482,0.9999999988709799,0.9657859307261332,8.689973823074151
dpss_narrow32_e12_hann,220,13,12,0.6825029280192529,1.2106973586186556,1,0,1.2749179538747684e-05,-0.26191939275282616,-0.2602490685836153,9.687159413936404e-08,16,16,9.735767140254248,0.0031156236481580443,0.9999999993886906,0.9701831488032044,8.760747098852045
dpss_narrow32_e12_hann,221,13,13,0.6825029280192529,1.31158880517021,1,0,1.139254161245753e-05,3.064356973036784,3.0624131514406963,1.0484364924402463e-07,16,16,7.559587066471066,0.0044393680702899535,0.999999999643675,0.968424626610833,8.734226022042442
dpss_narrow32_e12_hann,222,13,14,0.6825029280192529,1.4124802517217647,1,0,1.0484733374417282e-05,4.919674033663718,4.917481352005268,1.0477714260046326e-07,16,16,7.7184763187001915,0.004490731114358972,0.9999999997984795,0.9773692157916016,8.703666219163454
dpss_narrow32_e12_hann,223,13,15,0.6825029280192529,1.5133716982733196,1,0,9.963627948460018e-06,-0.5528472063799352,-0.5545384762951059,1.0986702108560763e-07,16,16,8.459451882727905,0.0024436231398017685,0.9999999998773099,0.9698143620294608,7.507104432057158
dpss_narrow32_e12_hann,229,14,5,0.7316439346424144,0.5044572327577731,1,0,3.2631048051851255e-05,1.9453539962914361,1.953162237659588,3.3145793887091997e-06,16,16,9.780523356526084,0.028975267640856044,0.9999429748828572,0.9744886826406807,11.827873932839003
dpss_narrow32_e12_hann,230,14,6,0.7316439346424144,0.6053486793093278,1,0,3.274054073591773e-05,2.983034862908308,2.987043373553687,9.86819720791095e-07,16,16,10.970032158412996,0.013805552554729584,0.999969542035599,0.9753400865943469,9.451174819370227
dpss_narrow32_e12_hann,231,14,7,0.7316439346424144,0.7062401258608824,1,0,2.7938951732900432e-05,-0.08664580470857768,-0.08816182350539403,4.179121187876815e-08,16,16,8.673181315382804,0.002255982856292188,0.99999752540669,0.9650487927899283,9.604712526428157
dpss_narrow32_e12_hann,232,14,8,0.7316439346424144,0.807131572412437,1,0,2.2935253360939877e-05,0.9391183068887314,0.9373198514664,6.741254077086971e-08,16,16,12.766859597976552,0.003292037230804258,0.9999997702511239,0.9667344321929059,9.360878280855275
dpss_narrow32_e12_hann,233,14,9,0.7316439346424144,0.9080230189639916,1,0,1.8998429332712235e-05,1.395688351170518,1.3963016017491243,6.660746151413545e-08,16,16,6.707197634021742,0.0022511223478802666,0.9999999654162597,0.9807766939939544,9.3341409689139
dpss_narrow32_e12_hann,234,14,10,0.7316439346424144,1.0089144655155462,1,0,1.597776668000708e-05,8.661191336723354,8.664253997817342,7.076753731624056e-08,16,16,10.388197210611391,0.0044097799577370485,0.9999999936538386,0.9763465015217659,9.18878379707192
dpss_narrow32_e12_hann,235,14,11,0.7316439346424144,1.109805912067101,1,0,1.3668805377455173e-05,9.402080854121648,9.404873957934187,7.11465805045369e-08,16,16,6.285321198597487,0.0024489003894643158,0.9999999980928684,0.9742462040728362,9.142511928049595
dpss_narrow32_e12_hann,236,14,12,0.7316439346424144,1.2106973586186556,1,0,1.2007377254083821e-05,10.44889134776985,10.448704418513758,8.061408953481193e-08,16,16,11.607554791475813,0.001720573074814783,0.9999999990590689,0.9649167764808918,9.366106614494209
dpss_narrow32_e12_hann,237,14,13,0.7316439346424144,1.31158880517021,1,0,1.073794573699189e-05,9.661659258329962,9.662320501494353,9.179776877254126e-08,16,16,14.01618521508505,0.00326867881953654,0.9999999994630563,0.9609040136098377,9.468095158448772
dpss_narrow32_e12_hann,238,14,14,0.7316439346424144,1.4124802517217647,1,0,9.778771518030073e-06,6.754791652407553,6.754093795827392,9.837240256522014e-08,16,16,13.62761875777179,0.0034578161299785738,0.999999999694708,0.9645199985104705,9.378494617359037
dpss_narrow32_e12_hann,239,14,15,0.7316439346424144,1.5133716982733196,1,0,9.240701360688781e-06,10.826709661495599,10.827601680067657,1.0524134868994678e-07,16,16,13.596320820489712,0.003959657680449583,0.9999999998181437,0.9722746133040352,7.848437178144346
dpss_narrow32_e12_hann,245,15,5,0.7807849412655758,0.5044572327577731,1,0,2.9255275748323084e-05,-0.6205601936880039,-0.6642538196074602,4.5283321470106353e-05,16,16,7.999959750941718,0.10348763647726593,0.9999001911567529,0.961224710599678,13.082216233734714
dpss_narrow32_e12_hann,246,15,6,0.7807849412655758,0.6053486793093278,1,0,2.9478254107341205e-05,0.6739808308077926,0.6641756005012701,1.3122028838018949e-05,16,16,8.478284200238614,0.052951886596214845,0.9999479146229541,0.9579880703569541,10.502774351156074
dpss_narrow32_e12_hann,247,15,7,0.7807849412655758,0.7062401258608824,1,0,2.5319778682602996e-05,1.5570339561342388,1.554319255697962,1.934055430862058e-07,16,16,11.11056824764647,0.005192960090139462,0.9999959040009988,0.9715410947290496,10.318989947247308
dpss_narrow32_e12_hann,248,15,8,0.7807849412655758,0.807131572412437,1,0,2.0947861411893694e-05,5.937364088378057,5.9364782319363165,3.369267886840914e-07,16,16,9.082674179124165,0.006507260941976681,0.9999995907365716,0.9685146732618034,10.230005161413018
dpss_narrow32_e12_hann,249,15,9,0.7807849412655758,0.9080230189639916,1,0,1.7328936144208126e-05,6.6529315059214245,6.65162410779407,3.773703486657891e-07,16,16,11.43618637220706,0.00847123520407675,0.9999999307997495,0.9692649035339476,10.131069657650524
dpss_narrow32_e12_hann,250,15,10,0.7807849412655758,1.0089144655155462,1,0,1.4565923766453929e-05,6.48729962150026,6.485692985340202,2.1232331750805843e-07,16,16,10.994048176729523,0.0032608543539207205,0.9999999873787546,0.9875143434387005,9.957182908878504
dpss_narrow32_e12_hann,251,15,11,0.7807849412655758,1.109805912067101,1,0,1.253985668114089e-05,5.147658874264224,5.143374108934736,2.405482059522902e-07,16,16,11.83198933680445,0.005149095146619793,0.9999999965998481,0.9921715236530624,9.981527511320646
